sub,condition,story,segment,segment_count,base_segment,base_seg_num,ref_seg_num,ref_step_base,ref_step_base_abs,ref_seg_type,main_or_gap,refer_boost_type,refer_boost_type_tri,total_count,total_points,total_hits,base_refer_seg_pair,segment_count_demean,ref_step_base_abs_demean
0116-2,p0,2,2_02,1,2_01,1,7.0,6.0,6.0,ahead_main,main,none,none,8,8.0,0.0,2_01_7.0,-4.5,2.75
0116-2,p0,2,2_02,1,2_01,1,7.5,6.5,6.5,ahead_gap,gap,none,none,3,3.0,0.0,2_01_7.5,-4.5,3.25
0116-2,p0,2,2_02,1,2_01,1,8.0,7.0,7.0,ahead_main,main,none,none,4,3.5,0.0,2_01_8.0,-4.5,3.75
0116-2,p0,2,2_02,1,2_01,1,8.5,7.5,7.5,ahead_gap,gap,none,none,1,1.0,0.0,2_01_8.5,-4.5,4.25
0116-2,p0,2,2_02,1,2_01,1,9.0,8.0,8.0,ahead_main,main,none,none,5,4.5,0.0,2_01_9.0,-4.5,4.75
0116-2,p0,2,2_02,1,2_01,1,9.5,8.5,8.5,ahead_gap,gap,none,none,3,3.0,0.0,2_01_9.5,-4.5,5.25
0116-2,p0,2,2_02,1,2_01,1,10.0,9.0,9.0,ahead_main,main,none,none,7,6.5,0.0,2_01_10.0,-4.5,5.75
0116-2,p0,2,2_02,1,2_01,1,10.5,9.5,9.5,ahead_gap,gap,none,none,3,3.0,0.0,2_01_10.5,-4.5,6.25
0116-2,p0,2,2_02,1,2_01,1,11.0,10.0,10.0,ahead_main,main,none,none,9,8.0,0.0,2_01_11.0,-4.5,6.75
0116-2,p0,2,2_04,3,2_03,3,3.5,0.5,0.5,gap,gap,none,none,2,2.0,0.0,2_03_3.5,-2.5,-2.75
0116-2,p0,2,2_04,3,2_03,3,4.0,1.0,1.0,target,main,none,none,4,4.0,0.0,2_03_4.0,-2.5,-2.25
